title,category,spec,price
Aluminum Architecture Industry Creality CR-10 S5 FDM 3D Printer,FDM 3D Printer,"Model Name/Number==CR-10 S5,Brand==Creality,Industry==Architecture Industry,Material==Aluminum,Technology==FDM,Power==270W,Nozzle Diameter==0.4 mm,Net Weight==14.6 kg,Gross Weight==22.8 kg,Print Size==500x500x500 mm,Print Speed==100 mm/s,Software==Cura\,Simplify3D And Repetier-host,Control System==Win\,XP\,MAC\,Vista And Linux,Voltage==220 V",65000
Sincro ISI Water Tank,"Water Storage Tanks,Water Tanks","Material==Plastic,Usage/Application==Water Storage,Layer Type==Double Layer,Brand==Sincro,Shape==Round,Color==Black,Wall Thickness==5.5mm,Diameter==57",6
Metro Loft Storage Water Tank,Loft Tank,"Brand==SUPER Metro,Storage Capacity==500-1000 L,Material==Plastic,Color==WHITE,Usage/Application==Water Storage,Warranty==10 Years,Max Pressure==High Pressure",7
2 Layer 1000 L Water Tank,"Water Storage Tanks,Plastic Water Tank","Storage Capacity==1000 L,Layer==2,Usage/Application==Home,Color==Black,Processing==Roto Molding,Finishing==Polished,Brand==Neeralic,Tank Material==Plastic",5500
6 Inch Solid Cast Iron Wheel Polyurethane Tread With Fixed Holder,"PU Casters,Cast Iron Casters","Load Capacity(kg)==750,Load Capacity==80 kg,Brand==Starline Industries,Color==Silver and Red,Material==Cast Iron and Polyurethane,Surface Finish==Polished,Size==6 inch",750
3 Inch Cast Iron Insert Cast Over Molding Tread With Brake,"PU Casters,Brake Casters,Cast Iron Casters","Load Capacity(kg)==500 kg,Load Capacity==80 kg,Brand==Starline Industries,Color==Silver and Red,Material==Cast Iron and PU,Packaging Type==Box,Size==3 inch",370
"Slotted Angle Office Racks, 18x36x78, Height: 7 Feet",Slotted Angle Racks,"Load Per Layer==200 Kg,Product Type==Angle Frame,Storage Capacity==150,Layers Per Rack==6,Color==Dark Grey,Country of Origin==Made in India,Usage/Application==Office,Height==7 Feet,Size==18x36x78",2800
Mild Steel Vaccum Box Lifter,Vacuum Lifters,"Lifting Capacity==90 kg,Material==Mild Steel,Phase==Single,Voltage==230 V,Frequency==50 Hz,Power==4 HP",550000
"Mild Steel 16mm en8d Rebar Coupler, For Construction",Rebar Coupler,"Length==40 mm,Surface Type==Hot Dipped Galvanized,Country of Origin==Made in India,Diameter==25 mm,Material==Mild Steel,Usage/Application==Construction",22
FS2-4 Grease Cartridge,Grease Cartridge,"Size==1 kg,Usage/Application==Industrial,Packaging==Barrel,Country of Origin==Made in India",
"Single Rajamane 0.5HP Mild Steel Coolant Pumps, For CNC Machines, Max Flow Rate: 500m3/hr","Coolant Pumps,Immersible Pumps","Max Flow Rate==500m3/hr,Power==0.5 HP,Usage/Application==CNC Machines,Head==Single,Material==Mild Steel,Color==Black,Brand==Rajamane",3000
"Mild Steel 16mm MS Reducer Rebar Coupler, For Construction",Rebar Coupler,"Length==30 mm,Surface Type==Hot Dipped Galvanized,Color==Silver,Country of Origin==Made in India,Diameter==16 mm,Material==Mild Steel,Usage/Application==Construction",22
"4 Inch Forged Industrial Wheel, Load Capacity(kg): 750","Caster Wheels,Heavy Duty Casters,Rubber Casters","Material==Cast Iron and Plastic,Color==Silver and White,Weight==200 gm,Surface Finish==Polished,Packaging Type==Box,Load Capacity(kg)==750,Size==4 inch,Usage/Application==Industrial",620
"Mild Steel Reducer Thread Rebar Coupler Manufacturer, For Construction",Rebar Coupler,"Diameter==40 mm,Material==Mild Steel,Usage/Application==Construction",50
32mm MS Reducer rebar Coupler,Rebar Coupler,"Length==40 mm,Material==Mild Steel,Usage/Application==Construction,Surface Type==Hot Dipped Galvanized,Color==Silver,Country of Origin==Made in India,Diameter==32 mm",80
Horels Vacuum lifters,Vacuum Lifters,"Lifting Capacity==100 kg,Country of Origin==Made in India",300000
Heavy Stainless Steel Dolphy Clearence Trolley,Stainless Steel Trolley,"Load Capacity==200 Kg,Load Capacity(kg)==200 kg,Type==Kitchen Trolley,Usage/Application==Industrial,Brand==Furchen Industries,Material==Stainless Steel,Structure==Heavy",21000
"20 mm Mild Steel TMT Bar Rebar Coupler, For Construction",Rebar Coupler,"Length==60 mm,Diameter==40 mm,Surface Type==Color Galvanized,Country of Origin==Made in India,Usage/Application==Construction",30
"Mild Steel Rebar Mechanical Splice Coupler, For Construction",Rebar Coupler,"Length==150MM,Diameter==40 mm,Country of Origin==Made in India,Material==Mild Steel,Usage/Application==Construction",40
"Mild Steel 32 Mm MS TMT Rebar Coupler, For Construction",Rebar Coupler,"Length==20 mm,Surface Type==Hot Dipped Galvanized,Color==Silver,Country of Origin==Made in India,Diameter==16 mm,Material==Mild Steel,Usage/Application==Construction",85
"25 mm Mild Steel TMT Bar Rebar Coupler, For Construction",Rebar Coupler,"Length==60 mm,Diameter==40 mm,Surface Type==Color Galvanized,Country of Origin==Made in India,Material==Mild Steel,Usage/Application==Construction",46
Synthetic Vacuum Pump Oil,Vacuum Pump Oils,"Size==4Ltr-5Ltr,Grade==VM 68\, VM 100,Brand==MORESCO",700
"Mild Steel 40mm Cold Forged Rebar Coupler, For Construction",Rebar Coupler,"Length==100MM,Country of Origin==Made in India,Diameter==40 mm,Material==Mild Steel,Usage/Application==Construction",110
"2 Inch Canvas Hose Pipe, For Plumbing","Canvas Pipe,Cotton Hose","Size/Diameter==2 inch,Type==Agriculture Water Hose,Length==30 mtr,Size==2 inch,Brand==AGRIFLEX,Bursting Pressure==14 BAR,Color==WHITE,Flexible==YES,Jacket==P.U.,Packaging Type==WOOVEN GUNNY BAG,Country of Origin==Made in India,Usage/Application==Plumbing,Material==CANVAS",34
Elegoo Neptune 4 Max 3D Printer,FDM 3D Printer,"Material==Polylactic acid (PLA),Industry==Architecture Industry,Color==Black,Dedicated Part cooling fan==Yes,Print Head Travel Speed==upto 600 mm/s,Software Supporting==Elegoo cura,Connectivity==SD Card,File Format Supported==STL",40000
Meko NISSAN CD-17 Water Pump,Automotive Water Pumps,"MEKO Part No.==M - 625,Ref. No.==210 10 58001,Vehicle Name==NISSAN** CD-17,Brand==Meko",883
Mild Steel Max Weight Bearing storage Racks,"Industrial Storage Rack,Warehouse Racks","Load per layer==200 kg,Height==8 feet,Brand==Brightway,Surface Finish==Color Coated,Use==Warehouse,Country of Origin==Made in India,Material==Mild Steel",105
HISA1-7 Grease Cartridge,Grease Cartridge,"Size==1 kg,Usage/Application==Industrial,Packaging==Barrel,Composition==base oil,Country of Origin==Made in India",
"Mild Steel 16mm TMT Bar Forged Coupler, For Construction",Rebar Coupler,"Length==40 mm,Surface Type==Hot Dipped Galvanized,Country of Origin==Made in India,Diameter==25 mm,Material==Mild Steel,Usage/Application==Construction",21
Stainless Steel Shawarma Food Stall,Fast Food Stall,"Material==Stainless Steel,Load Capacity==150 kg,Usage/Application==Fast food,Color==Steel,Brand==cool tech,Country of Origin==Made in India",90000
"Cotton 6 Inch Canvas Pipe, For Plumbing","Canvas Pipe,Cotton Hose,Fire Hose Pipe","Size/Diameter==4 inch,Type==Water Discharge Hose Pipe,Length==30 mtr,Size==4 inch,Brand==AGRI-FLEX,Bursting Pressure==15 BAR,Color==WHITE,Flexible==YES,Jacket==PU,Packaging Type==PACKED IN WOOVEN GUNNY BAG,Usage/Application==Plumbing,Material==COTTON",98
Hitank Water Storage Tanks,Water Storage Tanks,"Usage/Application==Home,Country of Origin==Made in India,Brand Name==Hitank",
Canvas Hose Pipe 3 Inch,Canvas Pipe,"Size/Diameter==3 inch,Size==3 inch,Length==30 mtr,Usage/Application==Plumbing,Material==COTTON,Type==Agriculture Water Hose,Brand==AGRI-FLEX,Bursting Pressure==15 BAR,Color==WHITE,Flexible==YES,Jacket==PU,Packaging Type==WOOVEN GUNNY BAG",45
"E-Glass Direct Roving, For Pipelines Industry","Fiberglass Roving,Woven Roving","Usage/Application==Pipelines Industry,Color==White,Filament Diameter==2 mm,Surface Treatment==Vinyl Coated,Yarn Structure==Single Yarn,Glass Type==E-Glass,Material==Fibreglass,Country of Origin==Made in India",70
"Mild Steel 25mm en8d Rebar Coupler, For Construction",Rebar Coupler,"Length==60 mm,Diameter==40 mm,Material==Mild Steel,Usage/Application==Construction",46
Mild Steel 25 Mm MS Threaded Rebar Coupler,Rebar Coupler,"Surface Type==Hot Dipped Galvanized,Color==Silver,Brand==Unique Engineering,Pack Type==Box,Diameter==5 mm,Material==Mild Steel",32
Meko Massey Ferguson Tractor Water Pump,Automotive Water Pumps,"Brand==Meko,MEKO Part No==M -801,Ref No==99DE0320 / 41312167,Vehicle Name==Assey Ferguson* 1035 (P3 Low Position Engine)",1259
Meko ZETOR 6522 DOUBLE MOUTH Water Pump,Automotive Water Pumps,"MEKO PART No.==M - 864,Vehicle Name==ZETOR* 6522 DOUBLE MOUTH (BIG PULLEY 133 MM\,FAN SIZE 32.5 MM),Brand==Meko",1589
"Mild Steel Parallel Rebar Coupler, For Construction",Rebar Coupler,"Length==40 mm,Diameter==5 mm,Surface Type==Hot Dipped Galvanized,Color==Silver,Country of Origin==Made in India,Material==Mild Steel,Usage/Application==Construction",50
"Cast Iron 16mm MBT Reinforcement Coupler, For Construction",Rebar Coupler,"Length==30 mm,Manufactured By==Divine Engineering,Diameter==16 mm,Material==Cast Iron,Usage/Application==Construction",200
"Mild Steel 20x25mm Reducer Rebar Coupler, For Construction",Rebar Coupler,"Finish==Polish,Manufactured By==Divine Engineering,Material==Mild Steel,Usage/Application==Construction,Dimension==20x25mm",46
Lube MP 04 Grease Cartridge,Grease Cartridge,"Size==1 kg,Usage/Application==Industrial,Packaging==Barrel,Country of Origin==Made in India,company==Lube",
"Spray Dryer Manufacturer, Capacity(Kg/Hr): 2500",Spray Dryers,"Material==MS,Usage/Application==Food\, Pharmaceuticals\, Chemicals\, Cosmetics\, etc.,Max Temperature==600 DegreeC,Automation Grade==Automatic,Country of Origin==Made in India,Capacity(Kg/Hr)==2500",
"Spray Dryers For Food Industry, Capacity(Kg/Hr): 2500",Spray Dryers,"Material==MS,Usage/Application==Food\, Pharmaceuticals\, Chemicals\, Cosmetics\, etc.,Max Temperature==600 DegreeC,Automation Grade==Automatic,Brand==RK,Capacity(Kg/Hr)==2500",
"Stainless Steel Spray Dryer for Pesticide Industries, Automatic Grade: Automatic","Spray Dryers,Spray Drying Plant","Capacity==1000 to 2000 Kg/hr,Max Temperature==350 Degree C,Voltage==230-320 V,Power Source==Electric,Automatic Grade==Automatic,Material==Stainless Steel,Usage/Application==Pesticide Industries,Frequency==50 Hz",
SS Pilot Sprey Dryers,"Spray Dryers,Spray Drying Plant","Production Capacity==3 Kg to 10 Kg water evaporation,Material==Stainless Steel,Power Source==Electric,Voltage==220 V,Power Consumption==100 W,Frequency==50 Hz,Phase==Three Phase",
"SS Spray Dryer, Capacity(Kg/Hr): 1000",Spray Dryers,"Automatic Grade==Automatic,Capacity==1 Kg/hr to 4000 Kg/hr,Usage/Application==Industrial,Voltage==230 V,Power Source==Electric,Power==4-7 kW,Frequency==50 Hz,Capacity(Kg/Hr)==1000,Material==SS",
Stainless Steel Automatic Spray Dryer for Food Industries,Spray Dryers,"Capacity==1000-2000 Kg/hr,Automation Grade==Automatic,Material==Stainless Steel,Usage/Application==Food Industries,Max Temperature==350 Degree C,Voltage==230-320 V,Power Source==Electric,Frequency==50 Hz",
"Water Evaporation Pilot Spray Dryer, Capacity(Kg/Hr): 1000",Spray Dryers,"Material==MS,Usage/Application==Food\, Pharmaceuticals\, Chemicals\, Cosmetics\, etc.,Type==Rotary,Max Temperature==600 DegreeC,Automation Grade==Automatic,Country of Origin==Made in India,Capacity(Kg/Hr)==1000",
"Spray Drying Plant, Capacity(Kg/Hr): 500","Spray Dryers,Spray Drying Plant","Capacity==>5000kg/hr,Automation Grade==Automatic,Type==Rotary,Country of Origin==Made in India,Capacity(Kg/Hr)==500,Usage/Application==Spray Drying",
Coated Industrial SS Dryer,Spray Dryers,"Usage/Application==Industrial,Capacity==5 kg/hr to 500 kg/hr,Material==SS,Surface Finish==Coated,Power==1.2 kW,Voltage==280 V",
Pilot Scale Spray Dryer,Spray Dryers,"Type==Continuous / Batch,Application:==Food\, Pharmaceuticals\, Chemicals\, Cosmetics\, etc.,Atomization Method==Rotary / Nozzle / Ultrasonic,Feed Type:==Liquid / Slurry / Emulsion,Maximum Inlet Temperature==[Specify temperature\, e.g.\, 200 DegreeC - 600 DegreeC],Country of Origin==Made in India",
"Automatic Spray Dryer, Capacity(Kg/Hr): 500","Spray Dryers,Industrial Dryers","Capacity==1 Kg/hr to 4000 Kg/hr,Capacity(Kg/Hr)==500,Material==SS,Usage/Application==Industrial,Voltage==230 V,Power==4-7 kW,Power Source==Electric,Automatic Grade==Automatic",
Stainless Steel Automatic Spray Dryer for Ceramic Industries,"Spray Dryers,Tray Dryer","Capacity==1000 Kg/hr,Automation Grade==Automatic,Material==Stainless Steel,Usage/Application==Ceramic Industries,Max Temperature==250 Degree C,Voltage==230-320 V,Power Source==Electric,Frequency==50 Hz",
"Mild Steel 16mm MS Threaded Rebar Coupler, For Construction",Rebar Coupler,"Surface Type==Hot Dipped Galvanized,Color==Silver,Country of Origin==Made in India,Diameter==10 mm,Material==Mild Steel,Usage/Application==Construction",20
Manual 1000 Psi Lube SH One 4S Grease Cartridge,Grease Cartridge,"Size==1 kg,Color==Cream,Capacity==1 Kg,Material==Polypropylene,Usage==Forms And Maintains A Strong Oil Film On Roller Bearings\, Ball Screws And Linear Rolling Surfaces.,Lot==2G25M,Maximum Pressure==1000 Psi,Machine Type==Manual,Model No.==SH One 4S,Brand Name==Lube",
"White Cut off Polycarbonate santro Natural Grinding, 3mm, Packaging Type: 25kgs","Polycarbonate Scrap,Polycarbonate Granules","Color==White,Processed Scrap Form==Cut off,Purity==91- 100%,Usage/Application==Industrial,Material==Polycarbonate,Scrap Source==Industrial Waste,Packaging Type==25kgs,Thickness==3mm,Grade==Santro Grade",120
6 inch Solid Cast Iron Wheel Polyurethane Tread With Brake,"PU Casters,Brake Casters,Cast Iron Casters","Load Capacity==80 kg,Load Capacity(kg)==450,Brand==Starline Industries,Material==Cast Iron and Polyurethane,Surface Finish==Polished,Packaging Type==Box,Size==6 inch",447
4 Inch Nylon Insert Over Molded Tread Without Brake,"PU Casters,Caster Wheels,Plate Caster","Load Capacity==80 kg,Load Capacity(kg)==450,Brand==Starline Industries,Color==Silver and Black and Red,Material==Metal and Nylon,Surface Finish==Polished,Packaging Type==Box,Size==4 inch",382
Tripple Layers Plastic Water Storage Tank,"Triple Layered Water Tanks,Water Storage Tanks",,
Meko M-638B Mahindra LCV Water Pump Assembly,Automotive Water Pumps,"Brand==Meko,Engine Type==as per order,Product Type==as per order,MEKO Part No.==M - 638 B,Ref. No.==085269,Vehicle Name==MAHINDRA* BOLERO PICKUP WITH HUB AND WITHOUT TUBE / GLX / XLS-ALU",1815
"Mild Steel 25mm Reducer Thread Rebar Coupler Manufacturer, For Construction",Rebar Coupler,"Length==50 mm,Diameter==40 mm,Material==Mild Steel,Usage/Application==Construction",46
Vacuum Bag Lifter,Vacuum Lifters,,400000
FS2 Grease Cartridge,Grease Cartridge,,
Aluminium 3.8m telescopic ladder,Telescopic Ladder,"Height==6 ft,Capacity==100 Kg,Foldable==Yes,Color==Silver,Material==Aluminium",3900
Mild Steel 5 HP Vaccum Plywood Lifter,Vacuum Lifters,"Lifting Capacity==80 kg,Material==Mild Steel,Phase==Single,Automation Grade==Semi Automation,Voltage==240 V,Frequency==50 Hz,Power==5 HP",500000
Fdm Automotive Creatbot D600 Pro 3D Printer,"FDM 3D Printer,3D Printer","Model Name/Number==D600 Pro,Brand==Creatbot,Industry==Automotive,Material==PLA\, ABS\, TPU\, NYLON\, PEEK\, ULTEM,Technology==FDM,Filament Diameter==1.75mm,Led Screen==4.3 invh Touch Screen,Product Dimension==915x845x1085 mm,Layer Resolution==0.05mm,Nozzle Diameter==0.4mm,Frequency==50 Hz,Ambient Operating Temprerature==32 DegreeC,Voltage==240 V,Build Volume==600x600x600mm,Filaments Drying Temperature==45 DegreeC,Max Bed Temperature==100 DegreeC,Max Chamber Temperature==70 DegreeC,Max Nozzle Temperature==420 DegreeC,Max Priniting Speed==120 mm/s,Number Of Nozzles==Double,Print File Type==STL\,OBJ\,AMF And Gcode,Product Weight==165 kg,Storage Media==USB Disk",1610000
Fdm 3d Printer Polylactic Acid (PLA) Creality Cr 10 Max,FDM 3D Printer,"Model Name/Number==Cr 10 max,Brand==Creality,Industry==Education,Material==Polylactic Acid (PLA),Color==Black,Technology==FDM 3D Printer,Software Supporting==Creality slicer\, cura,Usage/Application==3d printing\, Prototyping\, engineering,Connectivity==SD Card,File Format Supported==GCODE,Build Size==450 x 450 x 470 mm,Filament Diameter==1.75 mm,Automatic Grade/Machine Type==Automatic,Extruder Quantity==1,Heated Bed==yes",70000
Jindal Polyurethane 80 Mm PUF Insulated Roofing Panel,PUF Insulated Roofing Panel,"Thickness==60 mm,Brand==Jindal,Color==All Colors,Surface Treatment==Galvanised,Usage/Application==Roofing,Material==Polyurethane,Density==40kg/m3,Weight==20-30kg,Shear Strength==Rectangle,Country of Origin==Made in India",1670
Vacuum Lifter For Jute Bags,Vacuum Lifters,,164998
Meko SONALIKA INT. DI N/M 3035 INDOFARM TRACTOR Water Pump,Automotive Water Pumps,"MEKO PART No.==M - 832 D,Vehicle Name==SONALIKA* INT. DI N/M 3035 INDOFARM TRACTOR (PULLEY 97 MM\,FAN SIZE 34 MM\,T. Ht. 162 MM),Country of Origin==Made in India,Brand==Meko",1589
1200 Psi Hand Held Lube LHL X100 Grease Cartridge,Grease Cartridge,"Color==Green,Material==Polypropylene,Finishing==Matt,Usage==Forms And Maintains A Strong Oil Film On Roller Bearings\, Ball Screws And Linear Rolling Surfaces.,Model No.==LHL X100-7,Maximum Pressure==1200 Psi,Machine Type==Hand Held,Brand Name==Lube",
Aluminum Creality Ender-3 3D Printer,FDM 3D Printer,"Industry==Architecture Industry,Filament Diameter==1.75mm,Weight==8 kg,Layer Thickness==0.4mm,Nozzle Temperature==255 DegreeC,Nozzle Diameter==0.4mm,Frequency==50 Hz,Printing Size==220x220x250 mm,Working Mode==Online or SD offline,Hotbed Temperature==110 DegreeC,Machine Size==440x440x465 mm,Output==24V/15Amp/270W,Power Supply==265V,Printing Accuracy==+-0.1mm,Printing Speed==180mm/sec,Model Name/Number==Ender-3,Brand==Creality,Material==Aluminum",15000
4 inch PU Caster Wheel Brake With Dust Cover,"PU Casters,Brake Casters,PU Wheel","Load Capacity==100 kg,Load Capacity(kg)==700 kg,Color==Silver and Red,Material==Cast Iron and PU,Brand==Starline Industries,Size==4 inch",400
5 inch Rolling Caster Wheel,"Caster Wheels,Rubber Casters","Material==Cast Iron,Size==4 inch,Brand==Starline Industries,Diameter (mm)==100 mm,Packaging Type==Box,Finish==Polished,Load Capacity(kg)==400 kg,Wheel Size(Inch)==5 inch,Load Capacity (kg)==100 Kg",150
Meko M-628 Isuzu Car Water Pump Assembly,Automotive Water Pumps,"Ref. No.==306 1200 1011,Vehicle Name==ISUZU* DIESEL ENG.,Brand==Meko,MEKO Part No.==M - 628",1567
"Mild Steel 32mm TMT Bar Forged Coupler, For Construction",Rebar Coupler,"Length==80MM,Diameter==40 mm,Material==Mild Steel,Usage/Application==Construction",80
Heavy Duty Castor Wheels,Heavy Duty Casters,,1000
Uhmwpe Caster Wheels,Caster Wheels,"Wheel Material==UHMW,Purpose==Heavy Industry,Usage & Application==Exceptional Durability\, Non-Marking & Floor-Friendly\, Chemical & Corrosion Resistant",1000
6 Inch Nylon Insert With TPU Over Molded Tread With Brake,"PU Casters,Brake Casters","Load Capacity(kg)==500 kg,Load Capacity==80 kg,Brand==Starline Industries,Color==Silver and Black and Red,Material==Metal and Nylon,Surface Finish==Polished,Size==6 inch",620
